name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
NGC 6411  ,UGC 10916    ,17 35 32.8,+60 48 52,.E.....   ,1.36,0.98,12.93,14.34,          ,3889,ELLIPTICAL GALAXY
NGC 4033  ,ESO 572-42   ,12 00 34.8,-17 50 30,.E.6...   ,1.41,0.72,12.59,13.72,          ,1411,ELLIPTICAL GALAXY
NGC 5831  ,UGC 9678     ,15 04 07.2,+01 13 15,.E.3...   ,1.31,0.93,12.53,13.88,          ,1677,ELLIPTICAL GALAXY
IC 232    ,UGC 1994     ,02 31 11.4,+01 15 57,.E.....   ,1.23,      ,13.71,                ,          ,6378,ELLIPTICAL GALAXY
NGC 2957A ,MCG 12-10-1  ,09 47 15.8,+72 59 10,.E.1.*.   ,0.9,      ,        ,                ,          ,6821,ELLIPTICAL GALAXY
NGC 4318  ,UGC 7446     ,12 22 43.5,+08 11 55,.E...?.   ,0.83,      ,14.68,12.99,266,                   ,ELLIPTICAL GALAXY
NGC 7619  ,UGC 12523    ,23 20 14.7,+08 12 23,.E.....   ,1.4,1.09,12.22,13.99,          ,3953,ELLIPTICAL GALAXY
NGC 7626  ,UGC 12531    ,23 20 42.4,+08 13 02,.E...P*   ,1.42,1.11,12.41,14.13,          ,3572,ELLIPTICAL GALAXY
IC 658    ,MCG 2-28-33  ,10 58 18.0,+08 14 00,.E+..P.   ,       ,      ,14.4,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5983  ,UGC 9983     ,15 42 42.0,+08 14 00,.E.....   ,1,      ,14.39,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 12510    ,23 19 36.0,+08 15 00,.E.....   ,1.11,      ,        ,                ,          ,3692,ELLIPTICAL GALAXY
          ,UGC 1325     ,01 51 37.2,+08 15 25,.E.....   ,1.26,      ,13.58,                ,          ,5516,ELLIPTICAL GALAXY
          ,UGC 6003     ,10 53 03.7,+04 37 43,.E?....   ,0.67,      ,14.7,                ,          ,5658,ELLIPTICAL GALAXY
          ,CGCG 39-59   ,11 11 24.0,+06 26 00,.E.....   ,       ,      ,14.92,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3853  ,UGC 6712     ,11 44 28.6,+16 33 31,.E.....   ,1.22,0.7,13.44,13.93,          ,3287,ELLIPTICAL GALAXY
          ,MCG 3-41-83  ,16 04 48.0,+16 34 00,.E.....   ,0.9,      ,14.77,                ,          ,9441,ELLIPTICAL GALAXY
A 1534+58 ,             ,15 35 53.0,+57 54 09,.E.1.$.   ,       ,      ,        ,                ,          ,9028,ELLIPTICAL GALAXY
Draco     ,UGC 10822    ,17 20 12.4,+57 54 55,.E...P.   ,2.55,      ,10.9,                ,          ,-87,ELLIPTICAL GALAXY
NGC 5546  ,UGC 9148     ,14 18 09.2,+07 33 47,.E.....   ,1.11,0.97,13.7,13.67,          ,7322,ELLIPTICAL GALAXY
NGC 7503  ,MCG 1-59-8   ,23 10 42.3,+07 34 03,.E.2.*.   ,1.03,0.87,14.39,14.43,          ,13397,ELLIPTICAL GALAXY
NGC 7501  ,MCG 1-59-7   ,23 10 30.5,+07 35 19,.E.1.*.   ,1,0.77,14.73,14.58,          ,12865,ELLIPTICAL GALAXY
          ,             ,22 24 51.1,-58 25 33,.E.3.*.   ,1.19,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 115-8    ,02 24 22.8,-58 23 46,.E.1.*.   ,0.97,0.75,14.61,13.79,          ,9118,ELLIPTICAL GALAXY
IC 1460   ,MCG 1-58-15  ,22 57 04.2,+04 40 35,.E.2.P$   ,0.6,      ,15.06,12.89,          ,7451,ELLIPTICAL GALAXY
NGC 6758  ,ESO 184-37   ,19 13 52.3,-56 18 33,.E+..*.   ,1.35,0.83,12.49,14.12,          ,3311,ELLIPTICAL GALAXY
NGC 57    ,UGC 145      ,00 15 31.0,+17 19 36,.E.....   ,1.35,1.15,13.14,14.21,          ,5587,ELLIPTICAL GALAXY
          ,UGC 1198     ,01 49 12.0,+85 15 00,.E?....   ,1,      ,14.8,                ,          ,1382,ELLIPTICAL GALAXY
NGC 7468  ,UGC 12329    ,23 02 59.3,+16 36 10,.E.3.*P   ,0.96,0.34,13.92,13.49,209,2271,ELLIPTICAL GALAXY
          ,UGC 9640     ,14 59 27.8,+16 38 41,.E.....   ,1.11,      ,14.02,                ,          ,10040,ELLIPTICAL GALAXY
          ,MCG 3-41-38  ,16 01 18.0,+16 40 00,.E.....   ,0.84,      ,14.97,                ,          ,9565,ELLIPTICAL GALAXY
NGC 6127  ,UGC 10345    ,16 19 11.9,+57 59 03,.E.....   ,1.15,0.85,12.98,13.74,          ,4785,ELLIPTICAL GALAXY
NGC 3613  ,UGC 6323     ,11 18 36.2,+58 00 05,.E.6...   ,1.59,0.96,11.57,13.96,          ,2133,ELLIPTICAL GALAXY
          ,UGC 881      ,01 20 54.0,+04 47 00,.E.....   ,1.11,      ,14.71,                ,          ,                   ,ELLIPTICAL GALAXY
IC 678    ,MCG 1-29-21  ,11 14 00.0,+06 34 00,.E.....   ,       ,      ,14.9,                ,          ,860,ELLIPTICAL GALAXY
NGC 5129  ,UGC 8423     ,13 24 09.8,+13 58 34,.E.....   ,1.23,0.98,13.01,13.97,          ,6891,ELLIPTICAL GALAXY
NGC 3377  ,UGC 5899     ,10 47 41.7,+13 59 00,.E.5+..   ,1.72,1.06,10.97,14.25,          ,600,ELLIPTICAL GALAXY
          ,ESO 151-3    ,00 53 24.2,-56 03 20,.E+1.*.   ,0.95,      ,15.2,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 4761     ,09 04 54.0,+17 27 00,.E.....   ,1.08,0.81,14.18,14.6,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 3536A    ,07 03 20.8,+86 33 29,.E?....   ,0.97,      ,14.56,                ,          ,4906,ELLIPTICAL GALAXY
A 0811+58 ,UGC 4289     ,08 15 42.0,+58 19 00,.E.....   ,1,0.78,14.43,                ,          ,7946,ELLIPTICAL GALAXY
          ,             ,22 04 48.0,-58 06 00,.E+3...   ,1.2,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 896    ,UGC 8545     ,13 34 06.0,+04 51 00,.E.....   ,1.08,      ,14.35,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 185-54   ,20 03 27.4,-55 56 51,.E.2...   ,1.55,0.94,12.12,                ,          ,4297,ELLIPTICAL GALAXY
NGC 4335  ,UGC 7455     ,12 23 01.6,+58 26 39,.E.....   ,1.28,      ,13.4,                ,          ,4692,ELLIPTICAL GALAXY
IC 3019   ,UGC 7136     ,12 09 22.4,+13 59 31,.E.....   ,1.15,      ,14.2,                ,          ,1745,ELLIPTICAL GALAXY
          ,             ,12 15 54.3,+14 01 26,.E?....   ,0.58,      ,        ,                ,64,627,ELLIPTICAL GALAXY
NGC 5490  ,UGC 9058     ,14 09 57.4,+17 32 45,.E.....   ,1.38,0.79,12.8,14.78,          ,5031,ELLIPTICAL GALAXY
NGC 4489  ,UGC 7655     ,12 30 52.3,+16 45 31,.E.....   ,1.23,0.97,13,13.88,          ,919,ELLIPTICAL GALAXY
NGC 7647  ,UGC 12576    ,23 24 00.0,+16 47 00,.E.....   ,1.15,      ,14.56,                ,          ,11696,ELLIPTICAL GALAXY
NGC 3286  ,MCG 10-15-112,10 36 18.0,+58 36 00,.E?....   ,0.9,      ,14.61,                ,          ,8201,ELLIPTICAL GALAXY
NGC 3357  ,UGC 5206     ,10 44 20.8,+14 05 07,.E+..*.   ,1.16,      ,13.65,                ,          ,9716,ELLIPTICAL GALAXY
A 0600+07 ,UGC 3393     ,06 03 11.7,+07 49 38,.E?....   ,0.54,      ,        ,                ,          ,5185,ELLIPTICAL GALAXY
NGC 1549  ,ESO 157-16   ,04 15 45.1,-55 35 31,.E.0+..   ,1.69,1.18,10.63,13.97,          ,1042,ELLIPTICAL GALAXY
          ,             ,19 58 26.5,-55 35 02,.E.1.*.   ,1.06,      ,        ,                ,          ,16943,ELLIPTICAL GALAXY
NGC 7562  ,UGC 12464    ,23 15 57.4,+06 41 15,.E.2+..   ,1.35,0.88,12.68,13.9,223,3686,ELLIPTICAL GALAXY
IC 670    ,UGC 6178     ,11 07 24.0,+06 42 00,.E+....   ,1.01,      ,14.31,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 6604     ,11 38 09.3,+58 45 32,.E?....   ,1,      ,13.92,                ,          ,1409,ELLIPTICAL GALAXY
NGC 3610  ,UGC 6319     ,11 18 25.9,+58 47 14,.E.5.*.   ,1.43,0.71,11.42,13.66,          ,1869,ELLIPTICAL GALAXY
IC 948    ,UGC 8779     ,13 52 26.0,+14 05 31,.E.....   ,1.1,      ,14.09,                ,          ,6913,ELLIPTICAL GALAXY
IC 3442   ,MCG 2-32-111 ,12 31 20.3,+14 06 55,.E.0.*.   ,1.09,      ,14.47,                ,          ,6163,ELLIPTICAL GALAXY
NGC 7778  ,UGC 12827    ,23 53 20.1,+07 52 14,.E.....   ,1.01,0.77,13.61,13.63,          ,5372,ELLIPTICAL GALAXY
NGC 6721  ,ESO 141-19   ,19 00 50.5,-57 45 28,.E+..*.   ,1.22,0.86,12.98,14.01,          ,4348,ELLIPTICAL GALAXY
          ,UGC 5432     ,10 04 54.0,+05 03 00,.E...*.   ,1.04,      ,14.09,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7796  ,ESO 149-7    ,23 58 59.8,-55 27 24,.E+....   ,1.34,0.85,12.42,13.9,          ,3210,ELLIPTICAL GALAXY
          ,MCG 3-41-71  ,16 04 24.0,+16 53 00,.E.....   ,0.88,      ,14.86,                ,          ,9316,ELLIPTICAL GALAXY
          ,CGCG 381-2   ,23 32 14.5,+02 24 32,.E?....   ,0.47,      ,15.2,                ,          ,3578,ELLIPTICAL GALAXY
          ,ESO 142-49   ,19 52 55.8,-60 59 02,.E.4...   ,1.12,      ,13.81,                ,          ,                   ,ELLIPTICAL GALAXY
A 1610-60 ,ESO 137-6    ,16 15 03.8,-60 54 26,.E.1...   ,1.18,      ,13.07,13.85,          ,5355,ELLIPTICAL GALAXY
          ,ESO 146-28   ,22 28 51.3,-60 52 51,.E+3...   ,1.24,0.9,13.99,14.59,          ,                   ,ELLIPTICAL GALAXY
A 1600+16C,UGC 10143    ,16 02 12.0,+15 57 00,.E+....   ,1.22,1.02,14.16,                ,          ,10502,ELLIPTICAL GALAXY
NGC 6021  ,UGC 10102    ,15 57 30.5,+15 57 23,.E+....   ,1.14,0.54,13.97,14.16,          ,4825,ELLIPTICAL GALAXY
NGC 4556  ,UGC 7765     ,12 35 45.7,+26 54 35,.E+..*.   ,1.08,      ,14.07,                ,          ,7427,ELLIPTICAL GALAXY
NGC 6077  ,UGC 10254    ,16 11 06.0,+26 56 00,.E.....   ,1.08,      ,14.27,                ,          ,9714,ELLIPTICAL GALAXY
NGC 4821  ,MCG 5-31-15  ,12 56 29.9,+26 57 20,.E.4.*.   ,0.7,      ,15.48,                ,          ,6950,ELLIPTICAL GALAXY
          ,ESO 118-6    ,04 08 29.8,-60 49 28,.E+4...   ,1.06,      ,15.23,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 137-45   ,16 51 03.5,-60 48 30,.E.O.*.   ,1.19,      ,13.25,                ,          ,3237,ELLIPTICAL GALAXY
NGC 1008  ,UGC 2114     ,02 37 55.4,+02 04 45,.E.....   ,0.91,      ,14.63,                ,          ,6611,ELLIPTICAL GALAXY
          ,UGC 6655     ,11 41 50.6,+15 58 24,.E?....   ,0.67,      ,15.2,                ,106,682,ELLIPTICAL GALAXY
NGC 7464  ,UGC 12315    ,23 01 53.7,+15 58 26,.E.1.P*   ,0.89,      ,14.27,                ,          ,1970,ELLIPTICAL GALAXY
NGC 7618  ,UGC 12516    ,23 19 47.4,+42 51 11,.E.....   ,1.08,      ,14.02,                ,          ,5443,ELLIPTICAL GALAXY
A 0325+02 ,UGC 2748     ,03 27 54.0,+02 33 00,.E...P?   ,1.21,0.78,14.73,15.43,          ,9046,ELLIPTICAL GALAXY
NGC 5285  ,CGCG 17-65   ,13 44 25.8,+02 06 35,.E+..P.   ,0.86,      ,14.95,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 1016  ,UGC 2128     ,02 38 19.7,+02 07 05,.E.....   ,1.38,1.08,12.76,14.48,          ,6602,ELLIPTICAL GALAXY
IC 5341   ,MCG 4-55-37  ,23 38 26.8,+26 59 06,.E...*.   ,0.4,      ,15.61,                ,          ,9349,ELLIPTICAL GALAXY
IC 5342   ,MCG 4-55-39  ,23 38 38.8,+27 00 41,.E...*.   ,0.4,      ,15.43,                ,          ,9877,ELLIPTICAL GALAXY
          ,UGC 10722    ,17 08 19.6,+42 57 26,.E...*.   ,1.08,      ,14.93,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 12491    ,23 18 38.4,+42 57 28,.E...*.   ,1,      ,14.88,                ,          ,                   ,ELLIPTICAL GALAXY
A 0220+42 ,UGC 1841     ,02 23 11.6,+42 59 30,.E.....   ,1.48,      ,        ,                ,          ,6359,ELLIPTICAL GALAXY
IC 1365   ,MCG 0-54-7   ,21 13 55.7,+02 33 51,.E+....   ,1.22,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 97    ,UGC 216      ,00 22 30.0,+29 44 43,.E...*.   ,1.18,      ,13.29,                ,          ,4949,ELLIPTICAL GALAXY
          ,             ,04 18 28.7,-60 40 16,.E+1...   ,1.31,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 4842   ,ESO 141-52   ,19 19 24.2,-60 38 41,.E...*.   ,1.28,      ,13.43,                ,          ,4038,ELLIPTICAL GALAXY
NGC 7660  ,UGC 12594    ,23 25 48.9,+27 01 43,.E.....   ,1.15,0.69,13.43,14.21,          ,5882,ELLIPTICAL GALAXY
NGC 7720  ,UGC 12716    ,23 38 29.3,+27 01 57,.E+..P*   ,1.2,1.01,        ,14.18,          ,8895,ELLIPTICAL GALAXY
          ,UGC 10695    ,17 05 02.8,+43 02 59,.E.....   ,1.23,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 2059+15 ,MCG 3-53-12  ,21 01 56.4,+16 06 43,.E.1.*.   ,       ,      ,        ,                ,          ,12163,ELLIPTICAL GALAXY
NGC 4673  ,UGC 7933     ,12 45 34.8,+27 03 40,.E.1+..   ,1.02,      ,13.87,                ,          ,6969,ELLIPTICAL GALAXY
NGC 4636  ,UGC 7878     ,12 42 49.8,+02 41 17,.E.0+..   ,1.78,1.47,10.59,14.05,767,941,ELLIPTICAL GALAXY
NGC 2819  ,UGC 4924     ,09 18 09.5,+16 11 57,.E.....   ,1.15,      ,13.78,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 6375  ,UGC 10875    ,17 29 21.8,+16 12 25,.E.....   ,1.2,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3623   ,MCG 5-30-50  ,12 39 24.0,+27 06 00,.E?....   ,       ,      ,15.1,                ,          ,6968,ELLIPTICAL GALAXY
IC 683E   ,CGCG 39-138  ,11 21 24.0,+02 44 00,.E.....   ,0.86,      ,14.99,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5771  ,MCG 5-35-21  ,14 52 06.0,+29 50 00,.E?....   ,0.9,      ,14.57,                ,          ,6912,ELLIPTICAL GALAXY
NGC 6487  ,UGC 11022    ,17 52 42.3,+29 50 17,.E.....   ,1.28,1.15,13.32,14.2,          ,7879,ELLIPTICAL GALAXY
NGC 5329  ,UGC 8771     ,13 52 09.3,+02 19 43,.E...*.   ,1.12,0.92,        ,13.95,          ,7074,ELLIPTICAL GALAXY
          ,UGC 3844     ,07 26 35.1,+43 17 40,.E...?.   ,1.14,      ,14.02,                ,          ,3141,ELLIPTICAL GALAXY
          ,UGC 1987     ,02 31 13.5,+43 20 21,.E...?.   ,0.88,      ,15.3,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 2937  ,UGC 5131     ,09 37 45.0,+02 44 51,.E.....   ,1.32,0.52,        ,15.03,          ,6694,ELLIPTICAL GALAXY
NGC 5280  ,MCG 5-32-72  ,13 42 48.0,+29 51 00,.E?....   ,0.9,0.72,14.75,14.16,          ,10961,ELLIPTICAL GALAXY
NGC 6023  ,UGC 10106    ,15 57 42.0,+16 18 00,.E.....   ,1.15,0.78,14.3,14.52,          ,11229,ELLIPTICAL GALAXY
A 2058+16 ,MCG 3-53-9   ,21 00 51.4,+16 18 19,.E.1.*.   ,       ,      ,15.2,                ,          ,9346,ELLIPTICAL GALAXY
          ,UGC 6300     ,11 17 12.0,+16 19 00,.E.....   ,1.09,      ,14.8,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7728  ,UGC 12727    ,23 40 00.8,+27 08 01,.E.....   ,1,      ,14.13,                ,          ,9634,ELLIPTICAL GALAXY
NGC 7768  ,UGC 12806    ,23 50 58.5,+27 08 50,.E.....   ,1.2,0.97,13.65,14.02,          ,8369,ELLIPTICAL GALAXY
IC 4562   ,UGC 9928     ,15 35 57.7,+43 29 40,.E...?.   ,1.07,      ,13.64,                ,          ,5842,ELLIPTICAL GALAXY
IC 2231   ,UGC 4265     ,08 11 00.0,+05 05 00,.E...*.   ,1.15,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 40-53   ,11 51 30.0,+05 05 00,.E.....   ,       ,      ,14.92,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,22 41 49.7,-64 25 11,DE.4...   ,1.46,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7192  ,ESO 108-12   ,22 06 50.0,-64 18 57,.E+..*.   ,1.31,0.98,12.28,13.68,          ,2806,ELLIPTICAL GALAXY
          ,UGC 10918    ,17 37 30.0,+11 08 00,.E.....   ,1.04,      ,14.25,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3652   ,UGC 7838     ,12 40 58.5,+11 11 03,.E.....   ,0.91,      ,14.68,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3896   ,ESO 219-12   ,12 56 44.0,-50 20 43,.E.....   ,1.4,1.16,12.55,13.77,          ,1958,ELLIPTICAL GALAXY
NGC 4616  ,ESO 322-56   ,12 42 17.0,-40 38 32,.E+..*.   ,0.97,0.45,14.12,14.15,          ,4409,ELLIPTICAL GALAXY
IC 5338   ,UGC 12703    ,23 36 30.0,+21 08 00,.E...?.   ,1,      ,14.97,14.62,          ,16805,ELLIPTICAL GALAXY
NGC 2305  ,ESO 87-44    ,06 48 37.4,-64 16 24,.E.2.*P   ,1.31,0.82,12.81,13.96,          ,3287,ELLIPTICAL GALAXY
NGC 4660  ,UGC 7914     ,12 44 32.4,+11 11 27,.E...*.   ,1.34,0.61,11.86,13.55,          ,1045,ELLIPTICAL GALAXY
NGC 4860  ,MCG 5-31-54  ,12 59 04.1,+28 07 22,.E.2.*.   ,1.14,0.45,14.02,15.13,          ,7910,ELLIPTICAL GALAXY
IC 5105   ,ESO 342-39   ,21 24 22.2,-40 32 11,.E+....   ,1.42,0.93,12.51,14.17,          ,5413,ELLIPTICAL GALAXY
          ,CGCG 135-50  ,15 21 30.5,+21 11 24,.E?....   ,       ,      ,15.3,                ,          ,12617,ELLIPTICAL GALAXY
IC 3470   ,MCG 2-32-122 ,12 32 24.8,+11 15 33,.E?....   ,0.77,      ,14.96,13.13,          ,1987,ELLIPTICAL GALAXY
IC 2393   ,UGC 4589     ,08 46 48.0,+28 10 00,.E.....   ,1.11,      ,14.18,                ,          ,6263,ELLIPTICAL GALAXY
NGC 4895A ,CGCG 160-245 ,13 00 09.1,+28 10 13,.E.....   ,       ,      ,15.5,                ,          ,6740,ELLIPTICAL GALAXY
NGC 7196  ,ESO 237-36   ,22 05 54.7,-50 07 11,.E...*.   ,1.39,0.81,12.38,14.04,          ,2882,ELLIPTICAL GALAXY
          ,ESO 237-35   ,22 04 20.0,-50 02 50,.E.0.*.   ,1.06,0.82,14.61,14.64,          ,10903,ELLIPTICAL GALAXY
IC 4742   ,ESO 103-48   ,18 41 53.1,-63 51 44,.E.1...   ,1.22,      ,13.08,                ,          ,4703,ELLIPTICAL GALAXY
NGC 6776  ,ESO 104-53   ,19 25 19.4,-63 51 41,.E+..P*   ,1.23,0.77,12.91,14.03,          ,5389,ELLIPTICAL GALAXY
NGC 6545  ,ESO 103-6    ,18 12 15.4,-63 46 35,.E.1...   ,1.02,      ,14.16,                ,          ,4148,ELLIPTICAL GALAXY
NGC 2178  ,ESO 86-53    ,06 02 48.2,-63 45 54,.E.1...   ,1.05,      ,13.62,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 511   ,UGC 936      ,01 23 30.7,+11 17 28,.E...*.   ,1.08,      ,14.7,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 9534     ,14 48 36.0,+11 19 00,.E...?.   ,1,      ,14.67,                ,          ,                   ,ELLIPTICAL GALAXY
IC 3437   ,CGCG 70-138  ,12 30 46.5,+11 20 26,.E?....   ,0.95,      ,15.35,                ,          ,1723,ELLIPTICAL GALAXY
NGC 4008  ,UGC 6953     ,11 58 17.2,+28 11 34,.E.5...   ,1.39,0.76,12.7,14.19,          ,3548,ELLIPTICAL GALAXY
NGC 7200  ,ESO 237-37   ,22 07 09.1,-49 59 44,.E+..*.   ,1.21,0.62,13.71,14.44,          ,2850,ELLIPTICAL GALAXY
          ,ESO 318-21   ,10 53 05.3,-40 19 46,.E?....   ,1.18,0.8,13.88,14.02,          ,4616,ELLIPTICAL GALAXY
NGC 6768  ,ESO 337-18   ,19 16 32.4,-40 12 33,.E.4...   ,1.09,      ,        ,                ,          ,5566,ELLIPTICAL GALAXY
          ,ESO 307-13   ,06 00 41.6,-40 02 41,.E+3...   ,1.06,      ,14.62,                ,          ,13617,ELLIPTICAL GALAXY
IC 2253   ,MCG 4-20-11  ,08 16 36.0,+21 23 00,.E?....   ,       ,      ,14.9,                ,          ,4661,ELLIPTICAL GALAXY
NGC 6483  ,ESO 102-20   ,17 59 29.8,-63 40 07,.E.4...   ,1.19,0.92,13.21,13.3,          ,4807,ELLIPTICAL GALAXY
IC 3653   ,MCG 2-32-178 ,12 41 15.8,+11 23 15,.E?....   ,0.72,      ,14.8,                ,          ,417,ELLIPTICAL GALAXY
IC 3481A  ,MCG 2-32-128 ,12 32 57.4,+11 23 33,.E...P*   ,0.3,      ,        ,                ,          ,7249,ELLIPTICAL GALAXY
IC 3413   ,UGC 7620     ,12 29 23.1,+11 25 55,.E...?.   ,1.02,      ,14.72,                ,          ,945,ELLIPTICAL GALAXY
NGC 4881  ,UGC 8106     ,12 59 57.7,+28 14 43,.E+....   ,0.99,0.55,14.34,14.55,          ,6720,ELLIPTICAL GALAXY
          ,ESO 201-10   ,03 55 03.0,-49 36 54,DE.1.P*   ,1.11,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 1-29-35  ,11 21 06.0,+05 21 00,.E.....   ,1.02,      ,14.25,                ,          ,                   ,ELLIPTICAL GALAXY
          ,CGCG 38-96   ,11 02 36.0,+05 22 00,.E.....   ,       ,      ,14.92,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3250  ,ESO 317-26   ,10 26 32.4,-39 56 36,.E.4...   ,1.45,0.91,12.09,14.05,          ,2603,ELLIPTICAL GALAXY
          ,ESO 323-92   ,13 12 15.7,-39 56 19,.E?....   ,1.01,0.81,14.11,13.82,          ,3037,ELLIPTICAL GALAXY
          ,ESO 104-7    ,18 47 18.6,-63 21 39,.E?....   ,1.21,0.54,13.76,14.23,          ,3805,ELLIPTICAL GALAXY
IC 4765   ,ESO 104-6    ,18 47 18.5,-63 19 57,.E+4...   ,1.54,      ,12.33,                ,          ,4575,ELLIPTICAL GALAXY
NGC 2872  ,UGC 5018     ,09 25 43.0,+11 25 56,.E.2...   ,1.32,0.77,12.61,14.32,          ,2896,ELLIPTICAL GALAXY
NGC 4564  ,UGC 7773     ,12 36 27.0,+11 26 21,.E.....   ,1.55,0.82,12.09,13.82,          ,1066,ELLIPTICAL GALAXY
NGC 7774  ,UGC 12819    ,23 52 06.0,+11 28 00,.E.....   ,1.11,      ,14.09,                ,          ,6653,ELLIPTICAL GALAXY
NGC 4976  ,ESO 219-29   ,13 08 38.3,-49 30 17,.E.4.P*   ,1.75,1.09,11.1,14.06,          ,1276,ELLIPTICAL GALAXY
NGC 6577  ,UGC 11148    ,18 12 00.0,+21 28 00,.E.....   ,1.18,0.85,13.94,14.42,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 29       ,00 04 30.0,+28 18 00,.E...*.   ,1.11,      ,14.63,                ,          ,                   ,ELLIPTICAL GALAXY
A 1107+28B,             ,11 10 36.0,+28 19 00,.E.0.?.   ,       ,      ,        ,                ,          ,9544,ELLIPTICAL GALAXY
NGC 6876  ,ESO 73-35    ,20 18 20.3,-70 51 28,.E.3...   ,1.45,      ,12.06,                ,          ,3753,ELLIPTICAL GALAXY
NGC 6877  ,ESO 73-36    ,20 18 37.1,-70 51 16,.E.6...   ,1.25,0.95,13.16,13.55,          ,4034,ELLIPTICAL GALAXY
          ,             ,12 28 24.7,+13 11 37,.E?....   ,0.85,      ,        ,14.25,          ,                   ,ELLIPTICAL GALAXY
          ,             ,12 25 50.1,+13 11 42,.E?....   ,0.57,      ,        ,13.92,          ,                   ,ELLIPTICAL GALAXY
          ,             ,21 51 29.6,-55 20 08,.E+2...   ,1.26,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,22 24 19.0,-55 14 54,.E+3...   ,1.18,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7014  ,ESO 286-57   ,21 07 52.6,-47 10 40,.E+..*.   ,1.27,0.71,12.86,14.4,          ,4769,ELLIPTICAL GALAXY
IC 3468   ,UGC 7681     ,12 32 14.2,+10 14 57,.E.....   ,1.07,      ,14.14,                ,          ,1313,ELLIPTICAL GALAXY
NGC 6137  ,UGC 10364    ,16 23 02.6,+37 55 21,.E.....   ,1.28,0.93,13.72,14.32,          ,9455,ELLIPTICAL GALAXY
IC 4967   ,ESO 73-29    ,20 16 23.6,-70 33 53,.E...*.   ,0.84,      ,14.77,                ,          ,3921,ELLIPTICAL GALAXY
NGC 4168  ,UGC 7203     ,12 12 16.5,+13 12 24,.E.2...   ,1.44,0.98,12.14,14.07,          ,2224,ELLIPTICAL GALAXY
NGC 810   ,UGC 1583     ,02 05 24.0,+13 14 00,.E...?.   ,1.23,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 282-24   ,19 13 31.3,-47 03 40,.E.4...   ,1.18,      ,13.35,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 10944    ,17 41 54.0,+18 17 00,.E.....   ,1.08,      ,14.4,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 3819  ,MCG 2-30-13  ,11 42 06.0,+10 21 03,.E?....   ,0.9,      ,14.55,14.19,          ,6186,ELLIPTICAL GALAXY
NGC 3070  ,UGC 5350     ,09 58 07.1,+10 21 40,.E.....   ,1.16,0.71,13.03,14.05,          ,5275,ELLIPTICAL GALAXY
A 1855+37 ,MCG 6-41-24  ,18 57 37.6,+38 00 33,.E?....   ,       ,1.03,15,                ,          ,16763,ELLIPTICAL GALAXY
          ,UGC 2747     ,03 28 24.0,+38 01 00,.E...?.   ,1.04,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
IC 179    ,UGC 1475     ,02 00 11.6,+38 01 15,.E.....   ,1.26,0.74,13.12,14.66,          ,4324,ELLIPTICAL GALAXY
And I     ,             ,00 45 30.0,+38 02 00,.E.3.P$   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
