name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
NGC 3090  ,MCG 0-26-5   ,10 00 30.2,-02 58 19,.E+....   ,1.23,0.82,13.46,14.59,          ,6033,ELLIPTICAL GALAXY
          ,UGC 1786     ,02 19 30.8,+37 06 42,.E...*.   ,1,      ,15.23,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7144  ,ESO 237-11   ,21 52 42.9,-48 15 16,.E.0...   ,1.57,1.03,11.73,14.55,          ,1904,ELLIPTICAL GALAXY
A 0222+36 ,MCG 6-6-29   ,02 25 27.4,+37 10 27,.E?....   ,       ,      ,15,                ,          ,9920,ELLIPTICAL GALAXY
          ,CGCG 195-2   ,15 47 44.5,+37 12 18,.E?....   ,0.6,      ,15.3,                ,          ,12079,ELLIPTICAL GALAXY
          ,ESO 462-5    ,20 15 22.0,-28 22 17,.E?....   ,0.63,0.71,15.5,12.6,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1788     ,02 19 42.0,+36 37 00,.E...*.   ,1.04,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
A 2101-48 ,ESO 235-49   ,21 04 41.1,-48 11 20,.E...*.   ,1.12,0.68,13.65,13.73,          ,5027,ELLIPTICAL GALAXY
NGC 1426  ,ESO 549-1    ,03 42 49.3,-22 06 37,.E.4...   ,1.42,0.92,12.39,13.87,          ,1328,ELLIPTICAL GALAXY
          ,CGCG 12-39   ,11 36 30.0,-02 54 00,.E.....   ,       ,      ,15.03,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 464-18   ,21 03 01.2,-28 20 25,.E.0.*.   ,1,      ,14.59,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 7242  ,UGC 11969    ,22 15 39.7,+37 18 01,.E+..*.   ,1.09,      ,        ,                ,          ,6011,ELLIPTICAL GALAXY
NGC 4914  ,UGC 8125     ,13 00 42.8,+37 18 58,.E+....   ,1.54,0.86,12.35,14.56,          ,4723,ELLIPTICAL GALAXY
          ,ESO 437-9    ,10 36 34.9,-28 12 59,.E?....   ,1.02,      ,14.8,                ,154,3306,ELLIPTICAL GALAXY
          ,UGC 87       ,00 09 42.0,+28 21 00,.E...?.   ,1.04,      ,14.62,                ,          ,                   ,ELLIPTICAL GALAXY
          ,MCG 5-31-95  ,13 01 00.0,+28 21 00,.E?....   ,       ,      ,14.8,                ,          ,7718,ELLIPTICAL GALAXY
NGC 5444  ,UGC 8974     ,14 03 24.6,+35 07 56,.E+..*.   ,1.38,0.95,12.51,14.51,          ,3979,ELLIPTICAL GALAXY
          ,ESO 461-2    ,19 50 34.5,-30 52 21,.E+3.*.   ,1.16,      ,14.13,                ,          ,                   ,ELLIPTICAL GALAXY
IC 1427   ,UGC 11889    ,22 03 36.0,+15 06 00,.E.....   ,0.99,      ,14.7,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 5685  ,UGC 9403     ,14 36 06.0,+29 53 00,.E...*.   ,1.07,      ,14.28,                ,          ,10413,ELLIPTICAL GALAXY
